file,audio_seconds,world_seconds,phase,label,engine_frame,width,height,appearance,role,order,source_commit,bytes,sha256,full_original_viewed,crop_used,actor_observation_frame,visual_observation
"Media/frame_00048.jpg","2.070725802","1.917642601","2","Variant 1 / Normal navigation and attack","185","1600","900","Maintenance","approach","1","3d75c2faa0cecef6075f00755d8e4f5dd2562817","95549","8f4a219b6487f53b76b5ccb14fa3f9b4fe19f84f0fde6b36cf0a5c1040abd026","true","false","185","Blue-clothed infected approaches from below the player; both machines and floor remain in full view."
"Media/frame_00087.jpg","3.560430001","3.407957599","2","Variant 1 / Normal navigation and attack","325","1600","900","Maintenance","attack","2","3d75c2faa0cecef6075f00755d8e4f5dd2562817","95364","a4596b77dc8b5b559192c64cabbf67041f8f7cc93512ad1a0f1f3cb1f1ea08bf","true","false","325","Blue-clothed infected is close to player with raised bent arms; exact strike contact is not determined from this frame."
"Media/frame_00098.jpg","3.962994602","3.807322700","3","Variant 1 / Explicit living fall and regional query","360","1600","900","Maintenance","living_fall","3","3d75c2faa0cecef6075f00755d8e4f5dd2562817","94225","ae66ddf0f5f78b7654a94bc258c412f847eb97f9fd9dad231986e78627c2a230","true","false","360","Early fall sample remains partly upright, with detached arm/blood droplets; HUD health 81 and points 20."
"Media/frame_00166.jpg","6.580879103","6.430131201","4","Variant 1 / Actual get-up with absent arm","605","1600","900","Maintenance","get_up_early","4","3d75c2faa0cecef6075f00755d8e4f5dd2562817","94430","65dcd1f9d142abffd4567fbdc2cb2886308d9cb17bb83395b736a89342ea95a1","true","false","605","Injured blue-clothed body lies extended near its blood patch; arm is absent from the silhouette."
"Media/frame_00206.jpg","8.169608802","8.018832799","4","Variant 1 / Actual get-up with absent arm","760","1600","900","Maintenance","get_up_late","5","3d75c2faa0cecef6075f00755d8e4f5dd2562817","94400","bd7faaae8bd5297e0c49a7bae2ecd1927a7360a4ed7fbe44b13fc740389be98f","true","false","760","Later get-up has raised torso and bent leg; exact hand/foot support cannot be judged."
"Media/frame_00227.jpg","8.994585101","8.840879798","5","Variant 1 / Recovered pursuit","838","1600","900","Maintenance","recovered_pursuit","6","3d75c2faa0cecef6075f00755d8e4f5dd2562817","94395","0729e607725649faa00c1bc98c645a3634d157c87ce65b992e45d2833dfb6112","true","false","838","Body is upright with missing-arm silhouette retained; this snapshot does not measure walking smoothness."
"Media/frame_00251.jpg","9.963246103","9.812041897","6","Variant 1 / Fatal arm loss and corpse cut probes","932","1600","900","Maintenance","severed_corpse","7","3d75c2faa0cecef6075f00755d8e4f5dd2562817","95278","77904cbdf611d803d4d01fa7b717fce2836aa588b48b9cd1c71ad54db7f9d471","true","false","932","Body and detached pieces are separated near the red patch; zero remaining and 140 points displayed."
"Media/frame_00264.jpg","10.482037503","10.331877198","7","Variant 1 / Ordinary presentation cleanup","983","1600","900","Maintenance","cleanup","8","3d75c2faa0cecef6075f00755d8e4f5dd2562817","91408","ea5aaef3ebfb2a0067e86c9d09cdac8f8a69bbd441d3503cc39223fcdd0672e7","true","false",,"Prior body, pieces and blood patch are absent; zero remaining displayed."
"Media/frame_00292.jpg","11.572544601","11.421445001","8","Variant 2 / Normal navigation and attack","1086","1600","900","Laboratory","approach","9","3d75c2faa0cecef6075f00755d8e4f5dd2562817","96610","8f9b58f47a4284d449453f19d0cc5e49882f63e96351a16e42c8059c3723ea29","true","false","1086","Pale long-coated infected approaches; lighter clothing differs from Maintenance."
"Media/frame_00329.jpg","13.039397404","12.886677198","8","Variant 2 / Normal navigation and attack","1227","1600","900","Laboratory","attack","10","3d75c2faa0cecef6075f00755d8e4f5dd2562817","96309","4c309a07e3838a32980d09f06099b0f4fd10d97c414f5afcae33152e5613f47b","true","false","1227","Pale-coated infected is close with raised arm and turned shoulders."
