file,audio_seconds,world_seconds,phase,label,engine_frame,width,height,bytes,sha256
frame_00002.jpg,0.098877199,0.801106598,1,ONE INFECTED / ORDINARY CAMERA / APPROACH AND ATTACK,91,1600,900,92200,18e8fe57b6a94ce11bccd1af4431158f37d73a7551c5e61218a1ad036919829c
frame_00022.jpg,0.896858498,1.598820399,1,ONE INFECTED / ORDINARY CAMERA / APPROACH AND ATTACK,168,1600,900,88779,3b96fd250d2d933b711d176f01f6b5f5bd16cdaab8db252d09b356b349f9106a
frame_00070.jpg,2.692681398,3.392796099,1,ONE INFECTED / ORDINARY CAMERA / APPROACH AND ATTACK,333,1600,900,88131,c4455b00f3358d140fde57530693128b61feee3f9dd612951674dda00f28515e
frame_00183.jpg,6.798992097,7.500339199,2,ONE BODY / EXPLICIT BOUNDED LIVING FALL / HEALTH RETAINED,704,1600,900,87932,5f2a24df6950d6ac49f2888919f263b27a585730d1fafa3f1784d846a696f47b
frame_00193.jpg,7.143343799,7.843954500,2,ONE BODY / EXPLICIT BOUNDED LIVING FALL / HEALTH RETAINED,734,1600,900,87974,47ed15313aada9b8408ff3cdc707bca3b3f4fa11c11e287afeb5ae5ba47cd6fa
frame_00218.jpg,8.006790400,8.707913898,2,ONE BODY / EXPLICIT BOUNDED LIVING FALL / HEALTH RETAINED,809,1600,900,87711,3d159ba4a073f594d1f0a9c52ca31325104198fb6a44b729a07ac69d79007771
frame_00253.jpg,9.237370998,9.934561800,2,ONE BODY / EXPLICIT BOUNDED LIVING FALL / HEALTH RETAINED,914,1600,900,87693,91451671594893cc0f7c17fe3f26a9b705674cb12d6a21f17dcdfc5ecf80e301
frame_00261.jpg,9.509703699,10.210790601,2,ONE BODY / EXPLICIT BOUNDED LIVING FALL / HEALTH RETAINED,938,1600,900,87963,7267c617bda0cbda8fcd8d56325db967758b9058ac946632011fc28de2bd92a1
frame_00267.jpg,9.711695798,10.413451400,2,ONE BODY / EXPLICIT BOUNDED LIVING FALL / HEALTH RETAINED,956,1600,900,88837,bbb846e7e2c1e2b5f0b4600b5f452643637f205d29ab1663044a75f46f3ac071
frame_00278.jpg,10.141301900,10.843724199,2,ONE BODY / EXPLICIT BOUNDED LIVING FALL / HEALTH RETAINED,997,1600,900,88874,f14d11f9c3fbd8b012d104731072a3b6550da9d3c209a20c505c1308a4c1353f
frame_00299.jpg,10.997869100,11.700542200,2,ONE BODY / EXPLICIT BOUNDED LIVING FALL / HEALTH RETAINED,1081,1600,900,88250,e088c578b6d6f3263b093e4dfc2ab7cddd23e10cb2634e9a97148f234b91fb5a
frame_00332.jpg,12.310107499,13.010706998,2,ONE BODY / EXPLICIT BOUNDED LIVING FALL / HEALTH RETAINED,1206,1600,900,88169,651a7ec0d958647b5eaf514e3edb34cb27aa7473d228560ddd15c02e65ab0e9e
frame_00428.jpg,15.788459800,16.489995301,2,ONE BODY / EXPLICIT BOUNDED LIVING FALL / HEALTH RETAINED,1521,1600,900,88468,6ee1f68eb442d07fd6fe1a3362c145eb89e910641de141279e79cfbcbb399c09
frame_00438.jpg,16.198171098,16.899787299,3,TWO BODIES / SHARED APPROACH / REAL CONTACT,1560,1600,900,90446,d5d82aed60e326603cbbf1732b27b8d7e519c623b00350564fd013919ed081be
frame_00493.jpg,18.111987397,18.813270900,3,TWO BODIES / SHARED APPROACH / REAL CONTACT,1731,1600,900,89775,10b17259b5b46fba3e97363339713917d02185e01cda7df84d4ae32f004994eb
frame_00674.jpg,24.491696797,25.192588199,3,TWO BODIES / SHARED APPROACH / REAL CONTACT,2291,1600,900,89565,19848f307971f434260ef9947cc74bc025edc12c58fe03d84dcda8dc48921873
frame_00721.jpg,26.194590598,26.893457100,4,SIX BODIES / DECLARED SOLID OBSTACLE / REAL CONTACT,2443,1600,900,97127,41e82af9dbb858d7c04d8b70509a983a1dc85b60e0398e54509cce4875f744e7
frame_00813.jpg,29.503574900,30.201036301,4,SIX BODIES / DECLARED SOLID OBSTACLE / REAL CONTACT,2719,1600,900,95170,bd7c78ceff9b83d09eea08141fd3fd8d9893405f03d01a8e906d3f597360a1b7
frame_00837.jpg,30.384038597,31.082060300,4,SIX BODIES / DECLARED SOLID OBSTACLE / REAL CONTACT,2791,1600,900,94479,2f07854a44c45a55aabda8b8f05c7668fc99c086b1bea7b51cc9883c579c1420
frame_00915.jpg,33.213256501,33.912555099,4,SIX BODIES / DECLARED SOLID OBSTACLE / REAL CONTACT,3025,1600,900,94458,8740d6b6e7c4bbc45fb476b1feaefaca37ec7e30db785bb00c58550bcb2c182e
frame_01043.jpg,37.892263997,38.591171701,4,SIX BODIES / DECLARED SOLID OBSTACLE / REAL CONTACT,3409,1600,900,96872,056dadabdc5b5755631c92d7d8a0def1c41c73ddaadb089446272d08ee0e7e21
frame_01051.jpg,38.190040000,38.890354101,5,MIXED LIVING FALL AND GET-UP / PHYSICALITY PROBE,3433,1600,900,95311,9cc7ca0aab941b21dcae31ec0d1215da6e82f641e5b28f12214f7ab799338021
